inventor_id,name,country,patent_id
fl:da_ln:wishin-1,David J. Wishin,,10858005
fl:ho_ln:chen-36,Howard E. Chen,,10758118
fl:mi_ln:blaney-1,Michael P. Blaney,,D752965
fl:mi_ln:silvanto-3,Mikael Silvanto,,D763725
fl:an_ln:narula-1,Anubhav P. S. Narula,,4990494
fl:cl_ln:kucharski-1,Cliff Kucharski,,11194578
fl:ja_ln:gilley-1,Jason Corbett Gilley,,D1067085
fl:hy_ln:kang-159,Hyun Chul KANG,,9338200
fl:mi_ln:yeh-39,Ming-Hsi Yeh,,12376372
fl:fu_ln:tien-1,Fu-Kang Tien,,5883393
fl:pa_ln:estrier-1,Pascal Estrier,,6192941
fl:ke_ln:imai-15,Kenji Imai,,8319982
fl:th_ln:paoli-2,Thomas L. Paoli,,H1264
fl:ki_ln:song-59,Ki-Hoon Song,,8226184
fl:ge_ln:paulik-1,George Paulik,,10658993
fl:je_ln:dennes-1,Jeff Dennes,,8145564
fl:li_ln:lu-69,Lida Lu,,10745920
0019gsqdwzr3c68483mkfspl8,Mahoko Motoike,,5234904
fl:st_ln:dunn-9,Steven Bryan Dunn,,12312162
fl:ri_ln:vaccarella-1,Richard M. Vaccarella,,4295065
fl:yi_ln:chen-398,Yingwei Chen,,6810083
fl:ry_ln:masuda-6,Ryohei MASUDA,,12054908
fl:pe_ln:franaszek-1,Peter A. Franaszek,,5495475
fl:ha_ln:inagaki-2,Hajime Inagaki,,7906217
fl:ro_ln:hyde-1,Roderick A. Hyde,,8285488
fl:hi_ln:morita-22,Hideaki Morita,,6263276
fl:ro_ln:maerkl-1,Robert Maerkl,,4724241
fl:jo_ln:spagua-1,Joe Spagua,,6718730
fl:ji_ln:yao-54,Jimmin Yao,,D638818
fl:no_ln:nogami-1,Noriaki Nogami,,11270810
fl:ke_ln:sampson-3,Kevin Sampson,,12045885
fl:go_ln:alves-2,Goldino Alves,,7726459
fl:hi_ln:gunji-2,Hiroyuki Gunji,,12368034
fl:ba_ln:mansoorian-2,Barmak Mansoorian,,6480921
fl:ri_ln:jernigan-2,"Richard P. Jernigan, IV",,7587558
fl:mi_ln:maher-6,Michael D. Maher,,9448095
fl:fr_ln:rouyet-1,Francois Rouyet,,12479177
fl:yu_ln:wei-65,Yulong Wei,,11437457
fl:ta_ln:sakai-44,Tadashi Sakai,,9131611
fl:pr_ln:shankar-7,Prabhu Shankar,,12134428
fl:hi_ln:matsumoto-39,Hitoshi Matsumoto,,7897283
fl:pi_ln:groshens-1,Pierre Groshens,,5543214
001b693sja7ypgwm2mc34xrtp,"Robert C. Parro, II",,4595976
fl:fr_ln:schlesener-1,Frank Schlesener,,9983483
fl:sc_ln:henderson-1,Scott Andrew Henderson,,8420067
fl:fr_ln:eisert-1,Frank Eisert,,7118449
fl:le_ln:williamson-2,Leigh Williamson,,9043781
fl:hu_ln:zhao-18,Huasheng Zhao,,10194565
fl:ko_ln:hasegawa-15,Koh Hasegawa,,6511141
fl:fr_ln:stahlecker-1,Fritz Stahlecker,,5778653
fl:ge_ln:banke-1,"George W. Banke, Jr.",,7571070
fl:ra_ln:bakthavachalam-1,Ramachandran Bakthavachalam,,11010143
fl:ri_ln:zhang-8,Richard Zhang,,D682391
fl:we_ln:yan-44,Wei Yan,,D963654
fl:da_ln:goertzen-2,Daniel M. Goertzen,,7706641
fl:su_ln:jung-52,Sung-kyu Jung,,10389777
fl:pa_ln:spooner-1,Patrick McCoy Spooner,,9063041
fl:ja_ln:bolmgren-1,Jan Bolmgren,,6062218
fl:fr_ln:lu-10,Frank Lu,,6713308
fl:ka_ln:missoum-1,KARIM MISSOUM,,12509266
fl:ma_ln:bertrand-5,"Marvin Ralph Bertrand, Jr.",,6755029
fl:mo_ln:anderson-3,Molly Anderson,,D938849
fl:yu_ln:koiso-1,Yuichi Koiso,,D838383
fl:jo_ln:hershey-2,John R. Hershey,,9048942
fl:hi_ln:taka-3,Hideo Taka,,9972802
fl:lo_ln:steen-1,Louis Steen,,8598025
fl:ro_ln:gattuso-1,Roberto Gattuso,,12099447
fl:xi_ln:liu-420,Xiaojia Liu,,11148857
fl:jo_ln:vincent-30,Jonathan Vincent,,10110536
fl:ka_ln:kumar-33,Karthik Kumar,,10846014
fl:je_ln:folkins-2,Jeffrey J. Folkins,,7278699
fl:hi_ln:takahashi-78,Hiroshi Takahashi,,11549407
fl:al_ln:mceachern-2,Alexander McEachern,,5298859
fl:mi_ln:lim-11,Min Suet Lim,,12250800
fl:zh_ln:qiu-62,Zhiming Qiu,,D553191
fl:ro_ln:owens-17,Robert L. Owens,,5878501
fl:an_ln:houbraken-2,Anna M. W. P. Houbraken,,PP14924
fl:ro_ln:maslennikov-1,Roman Maslennikov,,7899129
fl:an_ln:banks-1,Anton G. Banks,,9739754
fl:be_ln:dittmer-1,Bernd Dittmer,,11223211
fl:al_ln:ring-1,Allan Ring,,9061825
fl:ic_ln:tachino-1,Ichiro Tachino,,5084112
fl:ro_ln:mease-2,Ronnie C. Mease,,11661402
fl:ro_ln:blackwell-3,Robert E. Blackwell,,5320706
fl:ay_ln:higuchi-2,Ayumi HIGUCHI,,11881403
fl:br_ln:valdes-1,Bruno A. Valdes,,11081718
fl:su_ln:kwon-52,Sun-Duc Kwon,,7330645
fl:ch_ln:manjunath-3,Chinmaya Manjunath,,11914480
fl:ro_ln:fackler-1,Robert L. Fackler,,7703266
fl:nu_ln:martingarcia-1,Nuria Martín García,,10703640
fl:os_ln:yamazaki-1,Osamu Yamazaki,,6371017
fl:bo_ln:chen-46,Bo-Hao Chen,,9472240
fl:ya_ln:sato-11,Yasumasa Sato,,5849227
fl:ch_ln:nishio-3,Chikara Nishio,,9486953
fl:ja_ln:sung-30,Janmye Sung,,6136643
fl:an_ln:champagne-4,Andrew F. Champagne,,10212203
fl:ha_ln:azechi-1,Haruka AZECHI,,12159066
fl:yo_ln:ito-14,Yoshitomo Ito,,7797813
fl:an_ln:papay-1,Andrew G. Papay,,4356097
fl:vo_ln:knoblauch-1,Volker Knoblauch,,6777361
fl:an_ln:putaggio-1,Andrea Putaggio,,D671675
fl:je_ln:windom-1,Jeff J. Windom,,D303485
fl:li_ln:ke-3,Ling-Wei Ke,,6700446
fl:kj_ln:ekman-2,Kjell Ferdinand Ekman,,D958532
fl:go_ln:bartels-2,Gosen B. H. Bartels,,PP16437
fl:yu_ln:tashiro-2,Yuuji Tashiro,,6767641
fl:el_ln:hertzenberg-1,Elliot P. Hertzenberg,,4563441
fl:ch_ln:jou-2,Chewn-Pu Jou,,10530030
fl:lu_ln:vegazayas-1,Luis R. Vega Zayas,,12288558
fl:se_ln:gadelrab-1,Serag Gadelrab,,9792215
fl:jo_ln:castinado-1,Joseph Benjamin Castinado,,11182781
fl:ja_ln:lee-489,Jae Gon Lee,,9171953
fl:mi_ln:frankel-4,Michael Y. Frankel,,9374166
